"","id1","id2","roi","pearsons.correlation","r_std","diag_dir","train_age","del_age","id1_motion","id2_motion"
"1567","NYU_0050964","NYU_0050965",34,0.0878678814128952,0.0880950705317423,"1<->1",12.75,3.5,0.0854908734,0.1110808926
"1568","NYU_0050964","NYU_0050966",34,0.150344298917909,0.151492678518216,"1<->1",12.75,-2.39,0.0854908734,0.036640721
"1570","NYU_0050964","NYU_0050968",34,0.0861477692232276,0.08636183669468,"1<->1",12.75,2.8,0.0854908734,0.0367919812
"1571","NYU_0050964","NYU_0050969",34,0.212215374174585,0.215490058643497,"1<->1",12.75,5.14,0.0854908734,0.1387885396
"1572","NYU_0050964","NYU_0050970",34,0.0881768327957851,0.088406434343873,"1<->1",12.75,3.85,0.0854908734,0.0370731675
"1573","NYU_0050964","NYU_0050972",34,0.189040824743066,0.191342258691859,"1<->1",12.75,-1.2,0.0854908734,0.089424964
"1574","NYU_0050964","NYU_0050973",34,0.131779422235198,0.132550289433849,"1<->1",12.75,-5.13,0.0854908734,0.0536008612
"1575","NYU_0050964","NYU_0050974",34,0.129447644951431,0.130178040685665,"1<->1",12.75,1.19,0.0854908734,0.0443430682
"1576","NYU_0050964","NYU_0050976",34,0.123389184195474,0.124021163022124,"1<->1",12.75,-1.9,0.0854908734,0.0746069509
"1579","NYU_0050964","NYU_0050979",34,0.206228709534391,0.209229314944741,"1<->1",12.75,3.38,0.0854908734,0.1757805414
"1580","NYU_0050964","NYU_0050981",34,0.133475733071407,0.134276973209757,"1<->1",12.75,-0.210000000000001,0.0854908734,0.0734356056
"1581","NYU_0050964","NYU_0050982",34,0.110768041741667,0.111224431312434,"1<->1",12.75,3.29,0.0854908734,0.0315260914
"1582","NYU_0050964","NYU_0050983",34,0.168150032778298,0.16976225557916,"1<->1",12.75,2.27,0.0854908734,0.0896981833
"1583","NYU_0050964","NYU_0050984",34,0.137299355549003,0.138171995720843,"1<->1",12.75,-0.449999999999999,0.0854908734,0.1909341352
"1584","NYU_0050964","NYU_0050985",34,0.162964817566009,0.16443089851786,"1<->1",12.75,-0.34,0.0854908734,0.0508660769
"1585","NYU_0050964","NYU_0050986",34,0.133526579369005,0.134328742162567,"1<->1",12.75,4.22,0.0854908734,0.0606959987
"1586","NYU_0050964","NYU_0050987",34,0.149316079769743,0.150440846604151,"1<->1",12.75,4.19,0.0854908734,0.0975560283
"1587","NYU_0050964","NYU_0050988",34,0.169626024442657,0.171281583597327,"1<->1",12.75,-1.46,0.0854908734,0.0355119788
"1588","NYU_0050964","NYU_0050989",34,0.186321433234077,0.188523579453516,"1<->1",12.75,2.97,0.0854908734,0.0678401483
"1589","NYU_0050964","NYU_0050990",34,0.125155195230197,0.125814875895401,"1<->1",12.75,-0.960000000000001,0.0854908734,0.0660113872
"1590","NYU_0050964","NYU_0050991",34,0.157663758104229,0.158989989970407,"1<->1",12.75,1.85,0.0854908734,0.0448547132
"1591","NYU_0050964","NYU_0050992",34,0.15715897878534,0.15847238525433,"1<->1",12.75,2.09,0.0854908734,0.0889344947
"1592","NYU_0050964","NYU_0050993",34,0.144646132948496,0.145667775561585,"1<->1",12.75,1.88,0.0854908734,0.0940610311
"1593","NYU_0050964","NYU_0050994",34,0.120813492945217,0.121406488748058,"1<->1",12.75,-2.91,0.0854908734,0.0298932373
"1594","NYU_0050964","NYU_0050995",34,0.106952466481179,0.107363092130508,"1<->1",12.75,-3.99,0.0854908734,0.0884394843
"1595","NYU_0050964","NYU_0050996",34,0.205517758123768,0.208486897012772,"1<->1",12.75,-3.06,0.0854908734,0.0531548557
"1596","NYU_0050964","NYU_0050997",34,0.112105922960632,0.112579135735501,"1<->1",12.75,-3.52,0.0854908734,0.1530317384
"1597","NYU_0050964","NYU_0050998",34,0.117116685111911,0.117656605454076,"1<->1",12.75,-0.289999999999999,0.0854908734,0.1079670691
