train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,33,0.026013551147119483
NYU_0050956,NYU_0050954,33,0.050708769430467635
NYU_0050957,NYU_0050954,33,0.024950007549460643
NYU_0050958,NYU_0050954,33,0.05141945327320542
NYU_0050959,NYU_0050954,33,0.07795399778040471
NYU_0050960,NYU_0050954,33,0.051938765604124193
NYU_0050961,NYU_0050954,33,0.049346545056088709
NYU_0050962,NYU_0050954,33,0.041146970108114023
NYU_0050964,NYU_0050954,33,0.051282070592404735
NYU_0050965,NYU_0050954,33,0.054266411393381196
NYU_0050966,NYU_0050954,33,0.032231566261870702
NYU_0050967,NYU_0050954,33,0.05091530674300624
NYU_0050968,NYU_0050954,33,0.076289085705481652
NYU_0050969,NYU_0050954,33,0.090094081152217412
NYU_0050970,NYU_0050954,33,0.025751814527468352
NYU_0050972,NYU_0050954,33,0.045372982081582344
NYU_0050973,NYU_0050954,33,0.033591804790878324
NYU_0050974,NYU_0050954,33,0.040070696852479534
NYU_0050976,NYU_0050954,33,0.052154479518994448
NYU_0050977,NYU_0050954,33,0.04341914114421784
NYU_0050978,NYU_0050954,33,0.084247680495380409
NYU_0050979,NYU_0050954,33,0.044614806804168759
NYU_0050981,NYU_0050954,33,0.086660970611426413
NYU_0050982,NYU_0050954,33,0.047765778473621581
NYU_0050983,NYU_0050954,33,0.048135851005641335
NYU_0050984,NYU_0050954,33,0.06870649766709773
NYU_0050985,NYU_0050954,33,0.09994949802384577
NYU_0050986,NYU_0050954,33,0.059709763991104767
NYU_0050987,NYU_0050954,33,0.045863992291450162
NYU_0050988,NYU_0050954,33,0.048654244668864213
NYU_0050989,NYU_0050954,33,0.052023268388901117
NYU_0050990,NYU_0050954,33,0.057378018820015274
NYU_0050991,NYU_0050954,33,0.037167163672683523
NYU_0050992,NYU_0050954,33,0.086124100773338638
NYU_0050993,NYU_0050954,33,0.049208395245464213
NYU_0050994,NYU_0050954,33,0.077984515812686811
NYU_0050995,NYU_0050954,33,0.061650578393987097
NYU_0050996,NYU_0050954,33,0.091712954388396689
NYU_0050997,NYU_0050954,33,0.055608352076586452
NYU_0050998,NYU_0050954,33,0.062798971139542872
NYU_0050999,NYU_0050954,33,0.061852274065464938
NYU_0051000,NYU_0050954,33,0.054352972490345
NYU_0051001,NYU_0050954,33,0.056679382525143568
NYU_0051002,NYU_0050954,33,0.041556813870342484
NYU_0051003,NYU_0050954,33,0.075981967898649194
NYU_0051006,NYU_0050954,33,0.051245466908777293
NYU_0051007,NYU_0050954,33,0.058202965166093759
NYU_0051008,NYU_0050954,33,0.059086031549012048
NYU_0051009,NYU_0050954,33,0.040105843441626224
NYU_0051010,NYU_0050954,33,0.039388892237972831
NYU_0051011,NYU_0050954,33,0.071380074674916472
NYU_0051012,NYU_0050954,33,0.053073824223441306
NYU_0051013,NYU_0050954,33,0.073285979488163303
NYU_0051014,NYU_0050954,33,0.077288271227099553
NYU_0051015,NYU_0050954,33,0.07090629060984012
NYU_0051016,NYU_0050954,33,0.024981243654102175
NYU_0051017,NYU_0050954,33,0.020741146201452249
NYU_0051018,NYU_0050954,33,0.046890078544322034
NYU_0051019,NYU_0050954,33,0.063425976435405221
NYU_0051020,NYU_0050954,33,0.10272476469815148
NYU_0051021,NYU_0050954,33,0.056510375134200812
NYU_0051023,NYU_0050954,33,0.057005949812285003
NYU_0051024,NYU_0050954,33,0.050460025110428935
NYU_0051025,NYU_0050954,33,0.064996983845673192
NYU_0051026,NYU_0050954,33,0.022735952358356189
NYU_0051027,NYU_0050954,33,0.045020981002717071
NYU_0051028,NYU_0050954,33,0.061904199628197425
NYU_0051029,NYU_0050954,33,0.095840836911025018
NYU_0051030,NYU_0050954,33,0.078975267702968047
NYU_0051032,NYU_0050954,33,0.063226579289997004
NYU_0051033,NYU_0050954,33,0.06847748547134315
NYU_0051034,NYU_0050954,33,0.075475794275159755
NYU_0051035,NYU_0050954,33,0.044657932195727071
NYU_0051036,NYU_0050954,33,0.070656839473308919
NYU_0051038,NYU_0050954,33,0.064902991602005813
NYU_0051039,NYU_0050954,33,0.074743844176378194
NYU_0051040,NYU_0050954,33,0.048995432513755384
NYU_0051041,NYU_0050954,33,0.056352593749900141
NYU_0051042,NYU_0050954,33,0.071254025401861279
NYU_0051044,NYU_0050954,33,0.071673493591402307
NYU_0051045,NYU_0050954,33,0.039174721916733067
NYU_0051046,NYU_0050954,33,0.058819933570090084
NYU_0051047,NYU_0050954,33,0.058513133100805831
NYU_0051048,NYU_0050954,33,0.052857237743781905
NYU_0051049,NYU_0050954,33,0.056413872580400357
NYU_0051050,NYU_0050954,33,0.021241541961872841
NYU_0051051,NYU_0050954,33,0.033630807748913881
NYU_0051052,NYU_0050954,33,0.062422680392681867
NYU_0051053,NYU_0050954,33,0.064760373750172046
NYU_0051054,NYU_0050954,33,0.021038984460616493
NYU_0051055,NYU_0050954,33,0.03977673502674095
NYU_0051056,NYU_0050954,33,0.034196134661844395
NYU_0051057,NYU_0050954,33,0.055992340835079438
NYU_0051058,NYU_0050954,33,0.07181747288587291
NYU_0051059,NYU_0050954,33,0.035425173476668126
NYU_0051060,NYU_0050954,33,0.074291643701740573
NYU_0051061,NYU_0050954,33,0.036922447782383648
NYU_0051062,NYU_0050954,33,0.05996246870277349
NYU_0051063,NYU_0050954,33,0.049758712251904029
NYU_0051064,NYU_0050954,33,0.029070044823182088
NYU_0051065,NYU_0050954,33,0.033339722353603371
NYU_0051066,NYU_0050954,33,0.00933926129264224
NYU_0051067,NYU_0050954,33,0.061977167975300028
NYU_0051068,NYU_0050954,33,0.055910976645605709
NYU_0051069,NYU_0050954,33,0.073914221990672699
NYU_0051070,NYU_0050954,33,0.066847564633004286
NYU_0051071,NYU_0050954,33,0.055439217578324804
NYU_0051072,NYU_0050954,33,0.062458571208664854
NYU_0051073,NYU_0050954,33,0.062961442985408678
NYU_0051074,NYU_0050954,33,0.039050815163626358
NYU_0051075,NYU_0050954,33,0.032605769202885521
NYU_0051076,NYU_0050954,33,0.043310401321429583
NYU_0051077,NYU_0050954,33,0.057495736826924444
NYU_0051078,NYU_0050954,33,0.099011142168845129
NYU_0051079,NYU_0050954,33,0.037223569924441674
NYU_0051080,NYU_0050954,33,0.0624689209387096
NYU_0051081,NYU_0050954,33,0.060800707874303514
NYU_0051082,NYU_0050954,33,0.053497007018948398
NYU_0051083,NYU_0050954,33,0.054520900098087945
NYU_0051084,NYU_0050954,33,0.054054085504100964
NYU_0051085,NYU_0050954,33,0.058669686340101557
NYU_0051086,NYU_0050954,33,0.060696408503824399
NYU_0051087,NYU_0050954,33,0.072326390369376367
NYU_0051088,NYU_0050954,33,0.069320355137356973
NYU_0051089,NYU_0050954,33,0.071311748856198121
NYU_0051090,NYU_0050954,33,0.11960562688376807
NYU_0051091,NYU_0050954,33,0.073554748812092757
NYU_0051093,NYU_0050954,33,0.050638891798626615
NYU_0051094,NYU_0050954,33,0.066810061383976327
NYU_0051095,NYU_0050954,33,0.041722010265985779
NYU_0051096,NYU_0050954,33,0.061912518502848173
NYU_0051097,NYU_0050954,33,0.015819530813847644
NYU_0051098,NYU_0050954,33,0.042615866234824683
NYU_0051099,NYU_0050954,33,0.0430352803832224
NYU_0051100,NYU_0050954,33,0.066553926669893612
NYU_0051101,NYU_0050954,33,0.037822544666596063
NYU_0051102,NYU_0050954,33,0.090377022058868536
NYU_0051103,NYU_0050954,33,0.052153851775526797
NYU_0051104,NYU_0050954,33,0.081071878688102936
NYU_0051105,NYU_0050954,33,0.032566566529420464
NYU_0051106,NYU_0050954,33,0.068418159980635759
NYU_0051107,NYU_0050954,33,0.039496217369600579
NYU_0051109,NYU_0050954,33,0.040129629907503288
NYU_0051110,NYU_0050954,33,0.030975361983981289
NYU_0051111,NYU_0050954,33,0.040890253189887878
NYU_0051112,NYU_0050954,33,0.069674551874820426
NYU_0051113,NYU_0050954,33,0.071779771665066772
NYU_0051114,NYU_0050954,33,0.026365355992648505
NYU_0051116,NYU_0050954,33,0.055948776818421295
NYU_0051117,NYU_0050954,33,0.034884627186463152
NYU_0051118,NYU_0050954,33,0.051079518935813008
NYU_0051121,NYU_0050954,33,0.071207002333254457
NYU_0051122,NYU_0050954,33,0.032595112085676371
NYU_0051123,NYU_0050954,33,0.053637924398450575
NYU_0051124,NYU_0050954,33,0.044924339378430551
NYU_0051126,NYU_0050954,33,0.038538951230916538
NYU_0051127,NYU_0050954,33,0.06264131186211426
NYU_0051128,NYU_0050954,33,0.047680268372758919
NYU_0051129,NYU_0050954,33,0.028806294020193805
NYU_0051130,NYU_0050954,33,0.039491704776493476
NYU_0051131,NYU_0050954,33,0.074252383017369486
NYU_0051146,NYU_0050954,33,0.049825200913045951
NYU_0051147,NYU_0050954,33,0.06892181111589557
NYU_0051148,NYU_0050954,33,0.058094144837425206
NYU_0051149,NYU_0050954,33,0.018323244522809562
NYU_0051150,NYU_0050954,33,0.051665069474941649
NYU_0051151,NYU_0050954,33,0.057588091480323421
NYU_0051152,NYU_0050954,33,0.043387705132919015
NYU_0051153,NYU_0050954,33,0.097666705549115884
NYU_0051154,NYU_0050954,33,0.06681454989952719
NYU_0051155,NYU_0050954,33,0.056868636031211672
NYU_0051156,NYU_0050954,33,0.050791827665040909
NYU_0051159,NYU_0050954,33,0.065785243426855669
NYU_0050954,NYU_0050955,33,0.026013551147119483
NYU_0050956,NYU_0050955,33,0.062141909095937524
NYU_0050957,NYU_0050955,33,0.030764159096069985
NYU_0050958,NYU_0050955,33,0.062913019064465128
NYU_0050959,NYU_0050955,33,0.065548941211491935
NYU_0050960,NYU_0050955,33,0.016640215141570734
NYU_0050961,NYU_0050955,33,0.020884226441206046
NYU_0050962,NYU_0050955,33,0.046294768706919988
NYU_0050964,NYU_0050955,33,0.12042460197492855
NYU_0050965,NYU_0050955,33,0.066828673989837814
NYU_0050966,NYU_0050955,33,0.039409052061869641
NYU_0050967,NYU_0050955,33,0.12459850415699704
NYU_0050968,NYU_0050955,33,0.073371060477696606
NYU_0050969,NYU_0050955,33,0.071704372041345429
NYU_0050970,NYU_0050955,33,0.07430224161207756
NYU_0050972,NYU_0050955,33,0.068814432083677407
NYU_0050973,NYU_0050955,33,0.0097112570847127065
NYU_0050974,NYU_0050955,33,0.08065884094891515
NYU_0050976,NYU_0050955,33,0.0097457573416078695
NYU_0050977,NYU_0050955,33,0.071548301509119824
NYU_0050978,NYU_0050955,33,0.070057074095017532
NYU_0050979,NYU_0050955,33,0.088174036454499227
NYU_0050981,NYU_0050955,33,0.13829547142627246
NYU_0050982,NYU_0050955,33,0.057791131086493738
NYU_0050983,NYU_0050955,33,0.057000256872748033
NYU_0050984,NYU_0050955,33,0.07761301790140393
NYU_0050985,NYU_0050955,33,0.12494071683646533
NYU_0050986,NYU_0050955,33,0.056009893550046111
NYU_0050987,NYU_0050955,33,0.086976736092422874
NYU_0050988,NYU_0050955,33,0.047683973246582537
NYU_0050989,NYU_0050955,33,0.053406678427528533
NYU_0050990,NYU_0050955,33,0.066135884595034153
NYU_0050991,NYU_0050955,33,0.06854417000449986
NYU_0050992,NYU_0050955,33,0.11620572427394134
NYU_0050993,NYU_0050955,33,0.099670015093288114
NYU_0050994,NYU_0050955,33,0.047275258958344363
NYU_0050995,NYU_0050955,33,0.074051388849551383
NYU_0050996,NYU_0050955,33,0.09255708702237192
NYU_0050997,NYU_0050955,33,0.067283734301470277
NYU_0050998,NYU_0050955,33,0.080633750403619447
NYU_0050999,NYU_0050955,33,0.083840082470039087
NYU_0051000,NYU_0050955,33,0.099613218502606363
NYU_0051001,NYU_0050955,33,0.082207313280828656
NYU_0051002,NYU_0050955,33,0.051130913327796436
NYU_0051003,NYU_0050955,33,0.079143169519549306
NYU_0051006,NYU_0050955,33,0.080994509893327279
NYU_0051007,NYU_0050955,33,0.067846890040028307
NYU_0051008,NYU_0050955,33,0.063722412983555091
NYU_0051009,NYU_0050955,33,0.084108205048233853
NYU_0051010,NYU_0050955,33,0.10307073933105874
NYU_0051011,NYU_0050955,33,0.083775960693169893
NYU_0051012,NYU_0050955,33,0.036875801321374385
NYU_0051013,NYU_0050955,33,0.048321521537842992
NYU_0051014,NYU_0050955,33,0.070825638994991266
NYU_0051015,NYU_0050955,33,0.07936428999351175
NYU_0051016,NYU_0050955,33,-0.0013008512925915239
NYU_0051017,NYU_0050955,33,0.037686892519223615
NYU_0051018,NYU_0050955,33,0.083244535739731784
NYU_0051019,NYU_0050955,33,0.06074109023077779
NYU_0051020,NYU_0050955,33,0.10859234574410929
NYU_0051021,NYU_0050955,33,0.11503219526420688
NYU_0051023,NYU_0050955,33,0.061381530137484146
NYU_0051024,NYU_0050955,33,0.061737537887748759
NYU_0051025,NYU_0050955,33,0.047098420722799642
NYU_0051026,NYU_0050955,33,0.060099753642151574
NYU_0051027,NYU_0050955,33,0.060090239894111649
NYU_0051028,NYU_0050955,33,0.087111453003158756
NYU_0051029,NYU_0050955,33,0.14483781359754555
NYU_0051030,NYU_0050955,33,0.087339326308064139
NYU_0051032,NYU_0050955,33,0.056114701164519915
NYU_0051033,NYU_0050955,33,0.11761402467656809
NYU_0051034,NYU_0050955,33,0.04019716383171975
NYU_0051035,NYU_0050955,33,0.086264045957906141
NYU_0051036,NYU_0050955,33,0.10483972880959574
NYU_0051038,NYU_0050955,33,0.068508659060634317
NYU_0051039,NYU_0050955,33,0.063057116900255963
NYU_0051040,NYU_0050955,33,0.081077205634671051
NYU_0051041,NYU_0050955,33,0.064550277679764304
NYU_0051042,NYU_0050955,33,0.07270043298355712
NYU_0051044,NYU_0050955,33,0.075039900858574995
NYU_0051045,NYU_0050955,33,0.096608659635916722
NYU_0051046,NYU_0050955,33,0.097311244852078163
NYU_0051047,NYU_0050955,33,0.054844298310535756
NYU_0051048,NYU_0050955,33,0.071986782550203868
NYU_0051049,NYU_0050955,33,0.047374646364561075
NYU_0051050,NYU_0050955,33,0.070170107202576049
NYU_0051051,NYU_0050955,33,0.088118063525085333
NYU_0051052,NYU_0050955,33,0.074069058174675309
NYU_0051053,NYU_0050955,33,0.10138466666382144
NYU_0051054,NYU_0050955,33,0.017309916119850118
NYU_0051055,NYU_0050955,33,0.088822127665600339
NYU_0051056,NYU_0050955,33,0.10994677190936641
NYU_0051057,NYU_0050955,33,0.084307633239257079
NYU_0051058,NYU_0050955,33,0.067120028601054968
NYU_0051059,NYU_0050955,33,0.03048592440679818
NYU_0051060,NYU_0050955,33,0.10112297182699179
NYU_0051061,NYU_0050955,33,0.032596620222977095
NYU_0051062,NYU_0050955,33,0.070929458445098556
NYU_0051063,NYU_0050955,33,0.079598305863994995
NYU_0051064,NYU_0050955,33,0.036593582547374236
NYU_0051065,NYU_0050955,33,0.023049966564745668
NYU_0051066,NYU_0050955,33,0.032599595124265496
NYU_0051067,NYU_0050955,33,0.058168702979949541
NYU_0051068,NYU_0050955,33,0.067417838138587774
NYU_0051069,NYU_0050955,33,0.057181187134441126
NYU_0051070,NYU_0050955,33,0.10079180127314281
NYU_0051071,NYU_0050955,33,0.097007986770047627
NYU_0051072,NYU_0050955,33,0.034541538939136016
NYU_0051073,NYU_0050955,33,0.063630755298202044
NYU_0051074,NYU_0050955,33,0.058331457957519491
NYU_0051075,NYU_0050955,33,0.052450715926802352
NYU_0051076,NYU_0050955,33,0.079748702152646928
NYU_0051077,NYU_0050955,33,0.06322815578742029
NYU_0051078,NYU_0050955,33,0.062265865715057801
NYU_0051079,NYU_0050955,33,0.093991343095528909
NYU_0051080,NYU_0050955,33,0.1005037923222899
NYU_0051081,NYU_0050955,33,0.059877506075975043
NYU_0051082,NYU_0050955,33,0.071903607884027332
NYU_0051083,NYU_0050955,33,0.10259740517945934
NYU_0051084,NYU_0050955,33,0.090742447141343899
NYU_0051085,NYU_0050955,33,0.095294881116795432
NYU_0051086,NYU_0050955,33,0.10454633595328094
NYU_0051087,NYU_0050955,33,0.10133060944094217
NYU_0051088,NYU_0050955,33,0.078536731862484693
NYU_0051089,NYU_0050955,33,0.082825971290327621
NYU_0051090,NYU_0050955,33,0.14778955010693501
NYU_0051091,NYU_0050955,33,0.11137198516729328
NYU_0051093,NYU_0050955,33,0.12685625517140345
NYU_0051094,NYU_0050955,33,0.080105525270839431
NYU_0051095,NYU_0050955,33,0.063516299624502837
