train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,42,0.044414634023282107
NYU_0050956,NYU_0050954,42,0.095573940168925189
NYU_0050957,NYU_0050954,42,0.033882712862134137
NYU_0050958,NYU_0050954,42,0.080500122144881572
NYU_0050959,NYU_0050954,42,0.10766619530633323
NYU_0050960,NYU_0050954,42,0.058724626741406959
NYU_0050961,NYU_0050954,42,0.063049016826974669
NYU_0050962,NYU_0050954,42,0.072600762042618741
NYU_0050964,NYU_0050954,42,0.069793839405348806
NYU_0050965,NYU_0050954,42,0.054879009425839953
NYU_0050966,NYU_0050954,42,0.080011999406629494
NYU_0050967,NYU_0050954,42,0.060148083489307856
NYU_0050968,NYU_0050954,42,0.087642461930216978
NYU_0050969,NYU_0050954,42,0.078291207601618618
NYU_0050970,NYU_0050954,42,0.13498568363014643
NYU_0050972,NYU_0050954,42,0.06320874968685139
NYU_0050973,NYU_0050954,42,0.09464215954390777
NYU_0050974,NYU_0050954,42,0.04435947512608495
NYU_0050976,NYU_0050954,42,0.14141534458047145
NYU_0050977,NYU_0050954,42,0.094010260188806621
NYU_0050978,NYU_0050954,42,0.064539950744424479
NYU_0050979,NYU_0050954,42,0.054093725795472433
NYU_0050981,NYU_0050954,42,0.080544813327428841
NYU_0050982,NYU_0050954,42,0.052669377233355949
NYU_0050983,NYU_0050954,42,0.04567172607048943
NYU_0050984,NYU_0050954,42,0.069576607637214183
NYU_0050985,NYU_0050954,42,0.099858806629347013
NYU_0050986,NYU_0050954,42,0.026052516633357569
NYU_0050987,NYU_0050954,42,0.050971124091246066
NYU_0050988,NYU_0050954,42,0.074592583127168335
NYU_0050989,NYU_0050954,42,0.10369629768366469
NYU_0050990,NYU_0050954,42,0.078858671434792083
NYU_0050991,NYU_0050954,42,0.090877902291254378
NYU_0050992,NYU_0050954,42,0.074154350642955294
NYU_0050993,NYU_0050954,42,0.051948203568645032
NYU_0050994,NYU_0050954,42,0.02723229641339267
NYU_0050995,NYU_0050954,42,0.067982962797602672
NYU_0050996,NYU_0050954,42,0.053080300584410836
NYU_0050997,NYU_0050954,42,0.10462446087752915
NYU_0050998,NYU_0050954,42,0.047086989248809344
NYU_0050999,NYU_0050954,42,0.086144876850764038
NYU_0051000,NYU_0050954,42,0.075555756647544256
NYU_0051001,NYU_0050954,42,0.081742204243702141
NYU_0051002,NYU_0050954,42,0.067435261896212073
NYU_0051003,NYU_0050954,42,0.089189891027809248
NYU_0051006,NYU_0050954,42,0.074684127105245232
NYU_0051007,NYU_0050954,42,0.083394341093627186
NYU_0051008,NYU_0050954,42,0.056670688261941875
NYU_0051009,NYU_0050954,42,0.075844553051006319
NYU_0051010,NYU_0050954,42,0.043333065892272808
NYU_0051011,NYU_0050954,42,0.059322173552551524
NYU_0051012,NYU_0050954,42,0.022684331635991012
NYU_0051013,NYU_0050954,42,0.066972327225736497
NYU_0051014,NYU_0050954,42,0.096063525730351762
NYU_0051015,NYU_0050954,42,0.055004342914289205
NYU_0051016,NYU_0050954,42,0.067555918378573804
NYU_0051017,NYU_0050954,42,0.032252781843829056
NYU_0051018,NYU_0050954,42,0.078262469317383024
NYU_0051019,NYU_0050954,42,0.087811115581958768
NYU_0051020,NYU_0050954,42,0.045748174996084016
NYU_0051021,NYU_0050954,42,0.082880177154926835
NYU_0051023,NYU_0050954,42,0.078859102792762037
NYU_0051024,NYU_0050954,42,0.10136373734299581
NYU_0051025,NYU_0050954,42,0.11280195641162601
NYU_0051026,NYU_0050954,42,0.085400607194524664
NYU_0051027,NYU_0050954,42,0.05132041262708479
NYU_0051028,NYU_0050954,42,0.055326949026509857
NYU_0051029,NYU_0050954,42,0.052738546620448197
NYU_0051030,NYU_0050954,42,0.10328702337496375
NYU_0051032,NYU_0050954,42,0.046806427686179645
NYU_0051033,NYU_0050954,42,0.03267322251955343
NYU_0051034,NYU_0050954,42,0.031156775946139165
NYU_0051035,NYU_0050954,42,0.059818196995052655
NYU_0051036,NYU_0050954,42,0.11023728181149584
NYU_0051038,NYU_0050954,42,0.091655823740499048
NYU_0051039,NYU_0050954,42,0.13172523390664118
NYU_0051040,NYU_0050954,42,0.084561023412547107
NYU_0051041,NYU_0050954,42,0.032760323437308496
NYU_0051042,NYU_0050954,42,0.092790480699740163
NYU_0051044,NYU_0050954,42,0.10665179129044138
NYU_0051045,NYU_0050954,42,0.091587672631785286
NYU_0051046,NYU_0050954,42,0.048704960923305542
NYU_0051047,NYU_0050954,42,0.03632032984136338
NYU_0051048,NYU_0050954,42,0.06719811334080561
NYU_0051049,NYU_0050954,42,0.11007107186593931
NYU_0051050,NYU_0050954,42,0.038989274442965474
NYU_0051051,NYU_0050954,42,0.019318415651563413
NYU_0051052,NYU_0050954,42,0.091666370477825304
NYU_0051053,NYU_0050954,42,0.069718894110980062
NYU_0051054,NYU_0050954,42,0.061184646867685655
NYU_0051055,NYU_0050954,42,0.054141560158753571
NYU_0051056,NYU_0050954,42,0.059403565825079163
NYU_0051057,NYU_0050954,42,0.07345108749210609
NYU_0051058,NYU_0050954,42,0.064757659344492374
NYU_0051059,NYU_0050954,42,0.069545411680173183
NYU_0051060,NYU_0050954,42,0.058711920219467729
NYU_0051061,NYU_0050954,42,0.066422578758392206
NYU_0051062,NYU_0050954,42,0.043168520522877903
NYU_0051063,NYU_0050954,42,0.089619969929314244
NYU_0051064,NYU_0050954,42,0.072027068928212715
NYU_0051065,NYU_0050954,42,0.092920921229605782
NYU_0051066,NYU_0050954,42,0.087917038200035783
NYU_0051067,NYU_0050954,42,0.073995616728061445
NYU_0051068,NYU_0050954,42,0.088632492494292212
NYU_0051069,NYU_0050954,42,0.070877154168146536
NYU_0051070,NYU_0050954,42,0.052018964886171519
NYU_0051071,NYU_0050954,42,0.092777386946913093
NYU_0051072,NYU_0050954,42,0.013215273446246274
NYU_0051073,NYU_0050954,42,0.083617039208018759
NYU_0051074,NYU_0050954,42,0.076216470561273036
NYU_0051075,NYU_0050954,42,0.065126084288444741
NYU_0051076,NYU_0050954,42,0.062352893778312025
NYU_0051077,NYU_0050954,42,0.079212726616243456
NYU_0051078,NYU_0050954,42,0.098352324094345231
NYU_0051079,NYU_0050954,42,0.08701764230561157
NYU_0051080,NYU_0050954,42,0.067905260037462056
NYU_0051081,NYU_0050954,42,0.068069359593936063
NYU_0051082,NYU_0050954,42,0.057792676041076942
NYU_0051083,NYU_0050954,42,0.078512591769039741
NYU_0051084,NYU_0050954,42,0.067888951004473785
NYU_0051085,NYU_0050954,42,0.10913439911401282
NYU_0051086,NYU_0050954,42,0.047244658366710955
NYU_0051087,NYU_0050954,42,0.044509731335753054
NYU_0051088,NYU_0050954,42,0.079562471469900031
NYU_0051089,NYU_0050954,42,0.098632272510461028
NYU_0051090,NYU_0050954,42,0.1119224656002295
NYU_0051091,NYU_0050954,42,0.053227767250420589
NYU_0051093,NYU_0050954,42,0.10182628950825777
NYU_0051094,NYU_0050954,42,0.078367837747545729
NYU_0051095,NYU_0050954,42,0.097122552988588781
NYU_0051096,NYU_0050954,42,0.053718492322546871
NYU_0051097,NYU_0050954,42,0.063518179638649225
NYU_0051098,NYU_0050954,42,0.092492057351907894
NYU_0051099,NYU_0050954,42,0.065000631923984004
NYU_0051100,NYU_0050954,42,0.1174571136120664
NYU_0051101,NYU_0050954,42,0.058706423958010255
NYU_0051102,NYU_0050954,42,0.1104287601743046
NYU_0051103,NYU_0050954,42,0.09882567257872342
NYU_0051104,NYU_0050954,42,0.11559619844530376
NYU_0051105,NYU_0050954,42,0.07356835661220204
NYU_0051106,NYU_0050954,42,0.059184442785999644
NYU_0051107,NYU_0050954,42,0.036270661329232581
NYU_0051109,NYU_0050954,42,0.020552913623007776
NYU_0051110,NYU_0050954,42,0.058043790782764552
NYU_0051111,NYU_0050954,42,0.079860330121679798
NYU_0051112,NYU_0050954,42,0.033463101997307607
NYU_0051113,NYU_0050954,42,0.071393875273631016
NYU_0051114,NYU_0050954,42,0.091121283066200126
NYU_0051116,NYU_0050954,42,0.066571532337738423
NYU_0051117,NYU_0050954,42,0.079411409536242247
NYU_0051118,NYU_0050954,42,0.062522777273518418
NYU_0051121,NYU_0050954,42,0.080371013138760369
NYU_0051122,NYU_0050954,42,0.03988713099778099
NYU_0051123,NYU_0050954,42,0.06530698649308353
NYU_0051124,NYU_0050954,42,0.057810165759668609
NYU_0051126,NYU_0050954,42,0.060604888324310338
NYU_0051127,NYU_0050954,42,0.045271481939948302
NYU_0051128,NYU_0050954,42,0.05327905077415436
NYU_0051129,NYU_0050954,42,0.045694555802289032
NYU_0051130,NYU_0050954,42,0.083791010061196575
NYU_0051131,NYU_0050954,42,0.088588157443641347
NYU_0051146,NYU_0050954,42,0.087363169933880047
NYU_0051147,NYU_0050954,42,0.065821843254821183
NYU_0051148,NYU_0050954,42,0.10970487714594833
NYU_0051149,NYU_0050954,42,0.059967589289152072
NYU_0051150,NYU_0050954,42,0.056158813317651976
NYU_0051151,NYU_0050954,42,0.067332380787148052
NYU_0051152,NYU_0050954,42,0.029356158032213357
NYU_0051153,NYU_0050954,42,0.062649393479601426
NYU_0051154,NYU_0050954,42,0.054159660970773738
NYU_0051155,NYU_0050954,42,0.077585004354784451
NYU_0051156,NYU_0050954,42,0.03852231965811892
NYU_0051159,NYU_0050954,42,0.057165000382618389
NYU_0050954,NYU_0050955,42,0.044414634023282107
NYU_0050956,NYU_0050955,42,0.051893946452011216
NYU_0050957,NYU_0050955,42,0.022859005708606554
NYU_0050958,NYU_0050955,42,0.054105925629129373
NYU_0050959,NYU_0050955,42,0.041602062133822386
NYU_0050960,NYU_0050955,42,0.030001557676391316
NYU_0050961,NYU_0050955,42,0.027292908982531987
NYU_0050962,NYU_0050955,42,0.021577774624045729
NYU_0050964,NYU_0050955,42,0.029218781559146371
NYU_0050965,NYU_0050955,42,0.023623680045810447
NYU_0050966,NYU_0050955,42,0.044006710282373823
NYU_0050967,NYU_0050955,42,0.029392841107300022
NYU_0050968,NYU_0050955,42,0.047497788259857392
NYU_0050969,NYU_0050955,42,-0.0052678460346889501
NYU_0050970,NYU_0050955,42,0.051415600404749358
NYU_0050972,NYU_0050955,42,0.037501541175867223
NYU_0050973,NYU_0050955,42,0.024987449009613128
NYU_0050974,NYU_0050955,42,-0.0033978713806620108
NYU_0050976,NYU_0050955,42,0.033860343642146067
NYU_0050977,NYU_0050955,42,0.046512707048023988
NYU_0050978,NYU_0050955,42,0.040416426967945958
NYU_0050979,NYU_0050955,42,0.005714955949325317
NYU_0050981,NYU_0050955,42,2.1038923336610672e-05
NYU_0050982,NYU_0050955,42,-0.0058997124365847021
NYU_0050983,NYU_0050955,42,0.046685778674679657
NYU_0050984,NYU_0050955,42,0.038079515862886493
NYU_0050985,NYU_0050955,42,0.038842651128508571
NYU_0050986,NYU_0050955,42,0.014316788351454909
NYU_0050987,NYU_0050955,42,0.056551126784582476
NYU_0050988,NYU_0050955,42,0.019487344074802942
NYU_0050989,NYU_0050955,42,0.059001782731849306
NYU_0050990,NYU_0050955,42,0.0079351899690803113
NYU_0050991,NYU_0050955,42,0.027438057023329625
NYU_0050992,NYU_0050955,42,0.059915365736694294
NYU_0050993,NYU_0050955,42,0.013237331019240399
NYU_0050994,NYU_0050955,42,0.012715333487026392
NYU_0050995,NYU_0050955,42,0.064582507245411508
NYU_0050996,NYU_0050955,42,0.030344739353406619
NYU_0050997,NYU_0050955,42,0.052452604016353072
NYU_0050998,NYU_0050955,42,0.023544293058867884
NYU_0050999,NYU_0050955,42,0.050373727945508991
NYU_0051000,NYU_0050955,42,0.031338888063992119
NYU_0051001,NYU_0050955,42,0.037662233774466425
NYU_0051002,NYU_0050955,42,0.037697700614721351
NYU_0051003,NYU_0050955,42,0.038995435304186345
NYU_0051006,NYU_0050955,42,0.039003423218695273
NYU_0051007,NYU_0050955,42,0.00091524212491545876
NYU_0051008,NYU_0050955,42,0.054611445880980949
