train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,15,0.069757426340498058
NYU_0050956,NYU_0050954,15,0.074641749780936378
NYU_0050957,NYU_0050954,15,0.053660112845411383
NYU_0050958,NYU_0050954,15,0.061747541053863382
NYU_0050959,NYU_0050954,15,0.067118373757859728
NYU_0050960,NYU_0050954,15,0.02720538126228815
NYU_0050961,NYU_0050954,15,0.0625408054507334
NYU_0050962,NYU_0050954,15,0.096439399139132367
NYU_0050964,NYU_0050954,15,0.068124135090062737
NYU_0050965,NYU_0050954,15,0.058085090711644034
NYU_0050966,NYU_0050954,15,0.078527621421432062
NYU_0050967,NYU_0050954,15,0.080598654602067388
NYU_0050968,NYU_0050954,15,0.066464033466353878
NYU_0050969,NYU_0050954,15,0.065221524702357203
NYU_0050970,NYU_0050954,15,0.037783390287784699
NYU_0050972,NYU_0050954,15,0.077176465404226957
NYU_0050973,NYU_0050954,15,0.053088623703675057
NYU_0050974,NYU_0050954,15,0.074719209008087123
NYU_0050976,NYU_0050954,15,0.064969767950171356
NYU_0050977,NYU_0050954,15,0.069898904681410218
NYU_0050978,NYU_0050954,15,0.074953497572685573
NYU_0050979,NYU_0050954,15,0.07743276658258666
NYU_0050981,NYU_0050954,15,0.074800790197345868
NYU_0050982,NYU_0050954,15,0.048434071535416942
NYU_0050983,NYU_0050954,15,0.056097683583586411
NYU_0050984,NYU_0050954,15,0.076775814511583218
NYU_0050985,NYU_0050954,15,0.033746409146265997
NYU_0050986,NYU_0050954,15,0.067271614336647592
NYU_0050987,NYU_0050954,15,0.037554078916564398
NYU_0050988,NYU_0050954,15,0.051074020259571064
NYU_0050989,NYU_0050954,15,0.091495187677585091
NYU_0050990,NYU_0050954,15,0.066909638484265774
NYU_0050991,NYU_0050954,15,0.046818744625752834
NYU_0050992,NYU_0050954,15,0.11235685110396273
NYU_0050993,NYU_0050954,15,0.0561920296426364
NYU_0050994,NYU_0050954,15,0.094587023005100676
NYU_0050995,NYU_0050954,15,0.067992023407488222
