train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,20,0.65173669725714023
NYU_0050956,NYU_0050954,20,0.70000704027074256
NYU_0050957,NYU_0050954,20,0.39772345586572216
NYU_0050958,NYU_0050954,20,0.57788190167463871
NYU_0050959,NYU_0050954,20,0.45329735281066713
NYU_0050960,NYU_0050954,20,0.62534663465322649
NYU_0050961,NYU_0050954,20,0.64722870096763041
NYU_0050962,NYU_0050954,20,0.44394771606826333
NYU_0050964,NYU_0050954,20,0.63442991938560633
NYU_0050965,NYU_0050954,20,0.7031045247318356
NYU_0050966,NYU_0050954,20,0.53912840405876461
NYU_0050967,NYU_0050954,20,0.65826904985362256
NYU_0050968,NYU_0050954,20,0.53005497431638626
NYU_0050969,NYU_0050954,20,0.45845335025860645
NYU_0050970,NYU_0050954,20,0.54833261626780694
NYU_0050972,NYU_0050954,20,0.67375111360279705
NYU_0050973,NYU_0050954,20,0.54228383511445999
NYU_0050974,NYU_0050954,20,0.65559686471883893
NYU_0050976,NYU_0050954,20,0.68125062702095562
NYU_0050977,NYU_0050954,20,0.66063660192973495
NYU_0050978,NYU_0050954,20,0.64014403919016694
NYU_0050979,NYU_0050954,20,0.58503987336526997
NYU_0050981,NYU_0050954,20,0.60055873320264386
NYU_0050982,NYU_0050954,20,0.66923427802373792
NYU_0050983,NYU_0050954,20,0.56050735290946441
NYU_0050984,NYU_0050954,20,0.56303113182665565
NYU_0050985,NYU_0050954,20,0.54707714212348979
NYU_0050986,NYU_0050954,20,0.60197668230088008
NYU_0050987,NYU_0050954,20,0.63901867638176357
NYU_0050988,NYU_0050954,20,0.44203183319574341
NYU_0050989,NYU_0050954,20,0.67701444405163813
NYU_0050990,NYU_0050954,20,0.52813197735408479
NYU_0050991,NYU_0050954,20,0.66598582921980753
NYU_0050992,NYU_0050954,20,0.62313259284517264
NYU_0050993,NYU_0050954,20,0.70812285696026667
NYU_0050994,NYU_0050954,20,0.68072412953460704
NYU_0050995,NYU_0050954,20,0.68488839755764064
NYU_0050996,NYU_0050954,20,0.68433159765217433
NYU_0050997,NYU_0050954,20,0.68735872266811682
NYU_0050998,NYU_0050954,20,0.66149334290958195
NYU_0050999,NYU_0050954,20,0.64037522467434849
NYU_0051000,NYU_0050954,20,0.66324466515110692
NYU_0051001,NYU_0050954,20,0.56204544016119573
NYU_0051002,NYU_0050954,20,0.60066122735278538
NYU_0051003,NYU_0050954,20,0.65857008091881986
NYU_0051006,NYU_0050954,20,0.68993618705552295
NYU_0051007,NYU_0050954,20,0.61425900272637279
NYU_0051008,NYU_0050954,20,0.54915310450317933
NYU_0051009,NYU_0050954,20,0.69116793653271535
NYU_0051010,NYU_0050954,20,0.57719125478598954
NYU_0051011,NYU_0050954,20,0.61572732335388558
NYU_0051012,NYU_0050954,20,0.62437632866184567
NYU_0051013,NYU_0050954,20,0.60784088565212058
NYU_0051014,NYU_0050954,20,0.66372579894076933
NYU_0051015,NYU_0050954,20,0.56229015900557799
NYU_0051016,NYU_0050954,20,0.65847267861419556
NYU_0051017,NYU_0050954,20,0.56609310861888795
NYU_0051018,NYU_0050954,20,0.53109256280866579
NYU_0051019,NYU_0050954,20,0.62332082711025427
NYU_0051020,NYU_0050954,20,0.53572030115329716
NYU_0051021,NYU_0050954,20,0.63511797448068608
NYU_0051023,NYU_0050954,20,0.67053188332491198
NYU_0051024,NYU_0050954,20,0.56728372029230123
NYU_0051025,NYU_0050954,20,0.62084626377828223
NYU_0051026,NYU_0050954,20,0.64229465451758827
NYU_0051027,NYU_0050954,20,0.51907708462205104
NYU_0051028,NYU_0050954,20,0.53414611155609126
NYU_0051029,NYU_0050954,20,0.61620934131066474
NYU_0051030,NYU_0050954,20,0.58399636866035209
NYU_0051032,NYU_0050954,20,0.53803880038374552
NYU_0051033,NYU_0050954,20,0.5514831916976477
NYU_0051034,NYU_0050954,20,0.55601790867047363
NYU_0051035,NYU_0050954,20,0.67014162393371279
NYU_0051036,NYU_0050954,20,0.65541768622718077
NYU_0051038,NYU_0050954,20,0.67193131897080183
NYU_0051039,NYU_0050954,20,0.5325441288868199
NYU_0051040,NYU_0050954,20,0.6637029247070263
NYU_0051041,NYU_0050954,20,0.57698635152754063
NYU_0051042,NYU_0050954,20,0.62266971218365075
NYU_0051044,NYU_0050954,20,0.58058579663051935
NYU_0051045,NYU_0050954,20,0.59094457219401153
NYU_0051046,NYU_0050954,20,0.6633902433587946
NYU_0051047,NYU_0050954,20,0.57785761774227917
NYU_0051048,NYU_0050954,20,0.64803875820484191
NYU_0051049,NYU_0050954,20,0.6930190241942572
NYU_0051050,NYU_0050954,20,0.66346003622214456
NYU_0051051,NYU_0050954,20,0.69949615550100908
