train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,191,0.1573024587408203
NYU_0050956,NYU_0050954,191,0.16450350423323351
NYU_0050957,NYU_0050954,191,0.14513359815167887
NYU_0050958,NYU_0050954,191,0.13451663689748816
NYU_0050959,NYU_0050954,191,0.1182231213788987
NYU_0050960,NYU_0050954,191,0.13321622003619479
NYU_0050961,NYU_0050954,191,0.12659776656219215
NYU_0050962,NYU_0050954,191,0.13226717111920894
NYU_0050964,NYU_0050954,191,0.16071412741519375
NYU_0050965,NYU_0050954,191,0.091623728341577365
NYU_0050966,NYU_0050954,191,0.172841387589487
NYU_0050967,NYU_0050954,191,0.11359279248155219
NYU_0050968,NYU_0050954,191,0.1484132299611565
NYU_0050969,NYU_0050954,191,0.19649785847595089
NYU_0050970,NYU_0050954,191,0.13000118543232439
NYU_0050972,NYU_0050954,191,0.10922720633942427
NYU_0050973,NYU_0050954,191,0.16770059512359378
NYU_0050974,NYU_0050954,191,0.17266589850939351
NYU_0050976,NYU_0050954,191,0.11205997212578837
NYU_0050977,NYU_0050954,191,0.10059908836973394
NYU_0050978,NYU_0050954,191,0.12381201796178534
NYU_0050979,NYU_0050954,191,0.15138659748102509
NYU_0050981,NYU_0050954,191,0.11731166425922844
NYU_0050982,NYU_0050954,191,0.11705023100018694
NYU_0050983,NYU_0050954,191,0.12558840868526883
NYU_0050984,NYU_0050954,191,0.18230047016553944
NYU_0050985,NYU_0050954,191,0.15667113804302851
NYU_0050986,NYU_0050954,191,0.13758913575848283
NYU_0050987,NYU_0050954,191,0.12314347232412484
NYU_0050988,NYU_0050954,191,0.10361806601059045
NYU_0050989,NYU_0050954,191,0.17395679724982172
NYU_0050990,NYU_0050954,191,0.17016973663192234
NYU_0050991,NYU_0050954,191,0.13325894054622028
NYU_0050992,NYU_0050954,191,0.15755843684332882
NYU_0050993,NYU_0050954,191,0.14669223331191586
NYU_0050994,NYU_0050954,191,0.096989666008055031
NYU_0050995,NYU_0050954,191,0.16135957969885539
NYU_0050996,NYU_0050954,191,0.12655894411278179
NYU_0050997,NYU_0050954,191,0.10946103824123725
NYU_0050998,NYU_0050954,191,0.12869571200986121
NYU_0050999,NYU_0050954,191,0.1466675977449535
NYU_0051000,NYU_0050954,191,0.18403563998371539
NYU_0051001,NYU_0050954,191,0.10567327857113994
NYU_0051002,NYU_0050954,191,0.12918830789714261
NYU_0051003,NYU_0050954,191,0.11756520063209994
NYU_0051006,NYU_0050954,191,0.094990276493106082
NYU_0051007,NYU_0050954,191,0.12876807659653175
NYU_0051008,NYU_0050954,191,0.12971436507003706
NYU_0051009,NYU_0050954,191,0.065141489953393153
NYU_0051010,NYU_0050954,191,0.080935162763135504
NYU_0051011,NYU_0050954,191,0.1480234290902446
NYU_0051012,NYU_0050954,191,0.14955350354786612
NYU_0051013,NYU_0050954,191,0.084768755230337986
NYU_0051014,NYU_0050954,191,0.17144036131218521
NYU_0051015,NYU_0050954,191,0.1183839160621646
NYU_0051016,NYU_0050954,191,0.14727754848940125
NYU_0051017,NYU_0050954,191,0.12406848240689859
NYU_0051018,NYU_0050954,191,0.12673303064360217
NYU_0051019,NYU_0050954,191,0.12608942708614079
NYU_0051020,NYU_0050954,191,0.13339332853141803
NYU_0051021,NYU_0050954,191,0.14658225607501019
NYU_0051023,NYU_0050954,191,0.11227774891610925
NYU_0051024,NYU_0050954,191,0.14917258144701917
NYU_0051025,NYU_0050954,191,0.15886787042923958
NYU_0051026,NYU_0050954,191,0.11648308427003611
NYU_0051027,NYU_0050954,191,0.12672427193004343
NYU_0051028,NYU_0050954,191,0.13190777232373824
NYU_0051029,NYU_0050954,191,0.12589847666734164
NYU_0051030,NYU_0050954,191,0.15264805388783401
NYU_0051032,NYU_0050954,191,0.16656263451203343
NYU_0051033,NYU_0050954,191,0.088189256665685736
NYU_0051034,NYU_0050954,191,0.14152862905159297
