train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,162,0.059453266678144677
NYU_0050956,NYU_0050954,162,0.047495534016532087
NYU_0050957,NYU_0050954,162,0.032445897628279229
NYU_0050958,NYU_0050954,162,0.052791891394732483
NYU_0050959,NYU_0050954,162,0.033530504807659726
NYU_0050960,NYU_0050954,162,0.066451395956974177
NYU_0050961,NYU_0050954,162,0.025485318899524691
NYU_0050962,NYU_0050954,162,0.039311100417829238
NYU_0050964,NYU_0050954,162,0.023826475565831291
NYU_0050965,NYU_0050954,162,0.078289622968674061
NYU_0050966,NYU_0050954,162,0.037110123013105588
NYU_0050967,NYU_0050954,162,0.056256659690348571
NYU_0050968,NYU_0050954,162,0.057886246625105477
NYU_0050969,NYU_0050954,162,0.059952702216509585
NYU_0050970,NYU_0050954,162,0.055676603719007622
NYU_0050972,NYU_0050954,162,0.067627899416744144
NYU_0050973,NYU_0050954,162,0.025867092360263456
NYU_0050974,NYU_0050954,162,0.06420652780014427
NYU_0050976,NYU_0050954,162,0.056876941642944483
NYU_0050977,NYU_0050954,162,0.030688582757993989
NYU_0050978,NYU_0050954,162,0.073939048763117285
NYU_0050979,NYU_0050954,162,0.074791213242981797
NYU_0050981,NYU_0050954,162,0.098243620316989022
NYU_0050982,NYU_0050954,162,0.074092141746707293
NYU_0050983,NYU_0050954,162,0.0047174838545231291
NYU_0050984,NYU_0050954,162,0.07079065420321512
NYU_0050985,NYU_0050954,162,0.032402932840038201
NYU_0050986,NYU_0050954,162,0.029597185482140475
NYU_0050987,NYU_0050954,162,0.044565656023315303
NYU_0050988,NYU_0050954,162,0.028172108975612693
NYU_0050989,NYU_0050954,162,0.05577011625591282
NYU_0050990,NYU_0050954,162,0.057813525218868567
NYU_0050991,NYU_0050954,162,0.023968677017002449
NYU_0050992,NYU_0050954,162,0.052479226633744727
NYU_0050993,NYU_0050954,162,0.07315975505755333
NYU_0050994,NYU_0050954,162,0.027724617190452022
NYU_0050995,NYU_0050954,162,0.080552416439671523
NYU_0050996,NYU_0050954,162,0.052888330483742266
NYU_0050997,NYU_0050954,162,0.056064495119369583
NYU_0050998,NYU_0050954,162,0.075319947823073385
NYU_0050999,NYU_0050954,162,0.042812377020699593
NYU_0051000,NYU_0050954,162,0.03092952484434431
NYU_0051001,NYU_0050954,162,0.042751773380919247
NYU_0051002,NYU_0050954,162,0.075602010757654201
NYU_0051003,NYU_0050954,162,0.045674059771005422
NYU_0051006,NYU_0050954,162,0.054598759107908325
NYU_0051007,NYU_0050954,162,0.030952064166503358
NYU_0051008,NYU_0050954,162,0.070446971139191947
NYU_0051009,NYU_0050954,162,0.069440028311954616
NYU_0051010,NYU_0050954,162,0.068622145706389442
NYU_0051011,NYU_0050954,162,0.078581059205068901
NYU_0051012,NYU_0050954,162,0.041825855330791993
NYU_0051013,NYU_0050954,162,0.072828244706932638
NYU_0051014,NYU_0050954,162,0.048992956443873102
NYU_0051015,NYU_0050954,162,0.035813212435658007
NYU_0051016,NYU_0050954,162,0.065352661705193757
NYU_0051017,NYU_0050954,162,0.083777724235509471
NYU_0051018,NYU_0050954,162,0.051326672977215222
NYU_0051019,NYU_0050954,162,0.05366818536384662
NYU_0051020,NYU_0050954,162,0.071626365425693284
NYU_0051021,NYU_0050954,162,0.042810546182804582
NYU_0051023,NYU_0050954,162,0.044589838724997451
NYU_0051024,NYU_0050954,162,0.0093057795773137351
NYU_0051025,NYU_0050954,162,0.083332742324347273
NYU_0051026,NYU_0050954,162,0.055996516165966043
NYU_0051027,NYU_0050954,162,0.0077480718892851347
NYU_0051028,NYU_0050954,162,0.05746650682205609
NYU_0051029,NYU_0050954,162,0.053784798178323497
NYU_0051030,NYU_0050954,162,0.056199409138714164
NYU_0051032,NYU_0050954,162,0.05697686725619952
NYU_0051033,NYU_0050954,162,0.056875573125477669
NYU_0051034,NYU_0050954,162,0.06399809047749247
NYU_0051035,NYU_0050954,162,0.081592598926811324
NYU_0051036,NYU_0050954,162,0.036275405030200519
NYU_0051038,NYU_0050954,162,0.035322017682875587
NYU_0051039,NYU_0050954,162,0.071322506806577507
NYU_0051040,NYU_0050954,162,0.040881928997000931
NYU_0051041,NYU_0050954,162,0.035620903429161493
NYU_0051042,NYU_0050954,162,0.032032477407978162
NYU_0051044,NYU_0050954,162,0.036789877960649073
NYU_0051045,NYU_0050954,162,0.058286902702465608
NYU_0051046,NYU_0050954,162,0.060523534532546532
NYU_0051047,NYU_0050954,162,0.091918875006116493
NYU_0051048,NYU_0050954,162,0.079645211946075434
NYU_0051049,NYU_0050954,162,0.061047298038156068
NYU_0051050,NYU_0050954,162,0.069049269937220811
NYU_0051051,NYU_0050954,162,0.0397616339588997
NYU_0051052,NYU_0050954,162,0.052498557745396933
NYU_0051053,NYU_0050954,162,0.063110440507414198
NYU_0051054,NYU_0050954,162,0.064814112690154038
NYU_0051055,NYU_0050954,162,0.057810132545172865
NYU_0051056,NYU_0050954,162,0.065757497766460338
NYU_0051057,NYU_0050954,162,0.0389004023520403
NYU_0051058,NYU_0050954,162,0.048441023735157067
NYU_0051059,NYU_0050954,162,0.042909577835215554
NYU_0051060,NYU_0050954,162,0.065228770696261165
NYU_0051061,NYU_0050954,162,0.012551290548171522
NYU_0051062,NYU_0050954,162,0.04004432318501281
NYU_0051063,NYU_0050954,162,0.039209401076520461
NYU_0051064,NYU_0050954,162,0.033676521861724373
NYU_0051065,NYU_0050954,162,0.047500519988911791
NYU_0051066,NYU_0050954,162,0.069836274291755276
NYU_0051067,NYU_0050954,162,0.044497149324368282
NYU_0051068,NYU_0050954,162,0.011033139107677057
NYU_0051069,NYU_0050954,162,0.047518738769531839
NYU_0051070,NYU_0050954,162,0.048372016443010438
NYU_0051071,NYU_0050954,162,0.05795725581366605
NYU_0051072,NYU_0050954,162,0.046623768595839388
NYU_0051073,NYU_0050954,162,0.039313504126127337
NYU_0051074,NYU_0050954,162,0.058128334753389875
NYU_0051075,NYU_0050954,162,0.038558556890644989
NYU_0051076,NYU_0050954,162,0.051439963031784698
NYU_0051077,NYU_0050954,162,0.052308812580529211
NYU_0051078,NYU_0050954,162,0.038373748083694148
NYU_0051079,NYU_0050954,162,0.045989910527883857
NYU_0051080,NYU_0050954,162,0.081529606231671048
NYU_0051081,NYU_0050954,162,0.0619388720725602
NYU_0051082,NYU_0050954,162,0.039529518551838567
NYU_0051083,NYU_0050954,162,0.063138998880043873
NYU_0051084,NYU_0050954,162,0.046531234765573769
NYU_0051085,NYU_0050954,162,0.057600235707567039
NYU_0051086,NYU_0050954,162,0.082560029462154821
NYU_0051087,NYU_0050954,162,0.049711419120094018
NYU_0051088,NYU_0050954,162,0.028580050115129482
NYU_0051089,NYU_0050954,162,0.059930960142364847
NYU_0051090,NYU_0050954,162,0.062650112959769619
NYU_0051091,NYU_0050954,162,0.050063263536630952
NYU_0051093,NYU_0050954,162,0.074100042253618728
NYU_0051094,NYU_0050954,162,0.057226361041102354
NYU_0051095,NYU_0050954,162,0.054783636334977896
NYU_0051096,NYU_0050954,162,0.042967344519654248
NYU_0051097,NYU_0050954,162,0.065135651068511449
NYU_0051098,NYU_0050954,162,0.065855928601506783
NYU_0051099,NYU_0050954,162,0.053430519356292831
NYU_0051100,NYU_0050954,162,0.051893892540852159
NYU_0051101,NYU_0050954,162,0.091485002771647589
NYU_0051102,NYU_0050954,162,0.059873427964893214
NYU_0051103,NYU_0050954,162,0.040031268909880721
NYU_0051104,NYU_0050954,162,0.047313865975837387
NYU_0051105,NYU_0050954,162,0.056883296891520108
NYU_0051106,NYU_0050954,162,0.059077343585801335
NYU_0051107,NYU_0050954,162,0.049285790763697067
NYU_0051109,NYU_0050954,162,0.040708578728586645
NYU_0051110,NYU_0050954,162,0.017079622881781262
NYU_0051111,NYU_0050954,162,0.041580737579732116
NYU_0051112,NYU_0050954,162,0.065565852027338389
NYU_0051113,NYU_0050954,162,0.054020504130944016
NYU_0051114,NYU_0050954,162,0.047475164903752864
NYU_0051116,NYU_0050954,162,0.042000505900263801
NYU_0051117,NYU_0050954,162,0.042736655336434025
NYU_0051118,NYU_0050954,162,0.052720431548042568
NYU_0051121,NYU_0050954,162,0.053843477635689224
NYU_0051122,NYU_0050954,162,0.0026830667856996052
NYU_0051123,NYU_0050954,162,0.05198770401731026
NYU_0051124,NYU_0050954,162,0.052100036380532497
NYU_0051126,NYU_0050954,162,0.075286610861307723
NYU_0051127,NYU_0050954,162,0.098236399779594044
NYU_0051128,NYU_0050954,162,0.037813660528592259
NYU_0051129,NYU_0050954,162,0.032075209999984644
NYU_0051130,NYU_0050954,162,0.022454637944244682
NYU_0051131,NYU_0050954,162,0.058004396407216718
NYU_0051146,NYU_0050954,162,0.048504915952217099
NYU_0051147,NYU_0050954,162,0.056542166117716099
NYU_0051148,NYU_0050954,162,0.038757723212223032
NYU_0051149,NYU_0050954,162,0.051207335817658732
NYU_0051150,NYU_0050954,162,0.044410662025611489
NYU_0051151,NYU_0050954,162,0.059737435573699905
NYU_0051152,NYU_0050954,162,0.058315628485392068
NYU_0051153,NYU_0050954,162,0.038929506727806228
NYU_0051154,NYU_0050954,162,0.041522651157065535
NYU_0051155,NYU_0050954,162,0.021177359177145083
NYU_0051156,NYU_0050954,162,0.046175700260491892
NYU_0051159,NYU_0050954,162,0.10126319081731737
NYU_0050954,NYU_0050955,162,0.059453266678144677
NYU_0050956,NYU_0050955,162,0.042424459773050663
NYU_0050957,NYU_0050955,162,0.04701821970795101
NYU_0050958,NYU_0050955,162,0.04412766327073897
NYU_0050959,NYU_0050955,162,0.046150803155799031
NYU_0050960,NYU_0050955,162,0.051292904800898445
NYU_0050961,NYU_0050955,162,0.068836623360503918
NYU_0050962,NYU_0050955,162,0.067450563511319464
NYU_0050964,NYU_0050955,162,0.071548668006761296
NYU_0050965,NYU_0050955,162,0.066129886427307272
NYU_0050966,NYU_0050955,162,0.027449046114281603
NYU_0050967,NYU_0050955,162,0.043093242525040064
NYU_0050968,NYU_0050955,162,0.06189972874169225
NYU_0050969,NYU_0050955,162,0.071337334815737466
NYU_0050970,NYU_0050955,162,0.055955053284173641
NYU_0050972,NYU_0050955,162,0.080669788168392279
NYU_0050973,NYU_0050955,162,0.02549197549035433
NYU_0050974,NYU_0050955,162,0.093816890404945341
NYU_0050976,NYU_0050955,162,0.048871640225456203
NYU_0050977,NYU_0050955,162,0.066615162895630589
NYU_0050978,NYU_0050955,162,0.03097398158958985
NYU_0050979,NYU_0050955,162,0.084671940322583142
NYU_0050981,NYU_0050955,162,0.092736722835384311
NYU_0050982,NYU_0050955,162,0.059526951591167075
NYU_0050983,NYU_0050955,162,0.065018153386393163
NYU_0050984,NYU_0050955,162,0.084118808672335552
NYU_0050985,NYU_0050955,162,0.035837237412331802
NYU_0050986,NYU_0050955,162,0.041806001971354256
NYU_0050987,NYU_0050955,162,0.058888775077912667
NYU_0050988,NYU_0050955,162,0.033150499107596772
NYU_0050989,NYU_0050955,162,0.025053498374606738
NYU_0050990,NYU_0050955,162,0.076977577027726785
NYU_0050991,NYU_0050955,162,0.031833758499607574
NYU_0050992,NYU_0050955,162,0.062378075962078262
NYU_0050993,NYU_0050955,162,0.062382320919696185
NYU_0050994,NYU_0050955,162,0.028278255214605228
NYU_0050995,NYU_0050955,162,0.068948873934206081
NYU_0050996,NYU_0050955,162,0.053411132563807459
NYU_0050997,NYU_0050955,162,0.055143614356013865
NYU_0050998,NYU_0050955,162,0.051103981098342251
NYU_0050999,NYU_0050955,162,0.026001336819805654
NYU_0051000,NYU_0050955,162,0.045674582671434427
NYU_0051001,NYU_0050955,162,0.056346283177817785
NYU_0051002,NYU_0050955,162,0.055406355927317887
NYU_0051003,NYU_0050955,162,0.024458722702428139
NYU_0051006,NYU_0050955,162,0.026342586521664116
NYU_0051007,NYU_0050955,162,0.024484737148539305
NYU_0051008,NYU_0050955,162,0.081613500950421705
NYU_0051009,NYU_0050955,162,0.053641063951547961
NYU_0051010,NYU_0050955,162,0.053761526737390687
NYU_0051011,NYU_0050955,162,0.084414954566427697
NYU_0051012,NYU_0050955,162,0.057398720551368618
NYU_0051013,NYU_0050955,162,0.056605064780144827
NYU_0051014,NYU_0050955,162,0.052187487954544511
NYU_0051015,NYU_0050955,162,0.02503013353166993
NYU_0051016,NYU_0050955,162,0.085646692995029042
NYU_0051017,NYU_0050955,162,0.11913391808042892
NYU_0051018,NYU_0050955,162,0.03650853088966588
NYU_0051019,NYU_0050955,162,0.055184747375977387
NYU_0051020,NYU_0050955,162,0.03672320339857979
NYU_0051021,NYU_0050955,162,0.036994289482972773
NYU_0051023,NYU_0050955,162,0.061561223705478799
NYU_0051024,NYU_0050955,162,0.054573031424051371
NYU_0051025,NYU_0050955,162,0.038123049265061666
NYU_0051026,NYU_0050955,162,0.049485638410049403
NYU_0051027,NYU_0050955,162,0.032467495758822185
NYU_0051028,NYU_0050955,162,0.023500147827641638
NYU_0051029,NYU_0050955,162,0.03526773792627743
NYU_0051030,NYU_0050955,162,0.079893564175584672
NYU_0051032,NYU_0050955,162,0.053916634774413885
NYU_0051033,NYU_0050955,162,0.072259703638707123
NYU_0051034,NYU_0050955,162,0.057384435490256229
NYU_0051035,NYU_0050955,162,0.083591748959869164
NYU_0051036,NYU_0050955,162,0.079903403288971664
NYU_0051038,NYU_0050955,162,0.011511057975149265
NYU_0051039,NYU_0050955,162,0.078895215118177028
NYU_0051040,NYU_0050955,162,0.031237552748560379
NYU_0051041,NYU_0050955,162,0.02842822065958775
NYU_0051042,NYU_0050955,162,0.051433643198450334
NYU_0051044,NYU_0050955,162,0.040752587045574946
NYU_0051045,NYU_0050955,162,0.089991608117904576
NYU_0051046,NYU_0050955,162,0.064115263219207297
NYU_0051047,NYU_0050955,162,0.054242498270755515
NYU_0051048,NYU_0050955,162,0.037157720081676789
NYU_0051049,NYU_0050955,162,0.022856621088449512
NYU_0051050,NYU_0050955,162,0.069779781290718448
NYU_0051051,NYU_0050955,162,0.035016849634505222
NYU_0051052,NYU_0050955,162,0.035382650475371924
NYU_0051053,NYU_0050955,162,0.086993816905818283
NYU_0051054,NYU_0050955,162,0.060215455252288295
NYU_0051055,NYU_0050955,162,0.034099156070298155
NYU_0051056,NYU_0050955,162,0.053578753452098109
NYU_0051057,NYU_0050955,162,0.065732924469760798
NYU_0051058,NYU_0050955,162,0.037818337631114002
