train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,75,0.48052938715705706
NYU_0050956,NYU_0050954,75,0.48346327327481375
NYU_0050957,NYU_0050954,75,0.52513540151303928
NYU_0050958,NYU_0050954,75,0.62668008070234049
NYU_0050959,NYU_0050954,75,0.42006777186754068
NYU_0050960,NYU_0050954,75,0.54360945159637608
NYU_0050961,NYU_0050954,75,0.48839917997496463
NYU_0050962,NYU_0050954,75,0.6033285083645521
NYU_0050964,NYU_0050954,75,0.59329382443666479
NYU_0050965,NYU_0050954,75,0.45569355098046016
NYU_0050966,NYU_0050954,75,0.47298884109667438
NYU_0050967,NYU_0050954,75,0.40145070281766221
NYU_0050968,NYU_0050954,75,0.48144189486569511
NYU_0050969,NYU_0050954,75,0.55745149247831605
NYU_0050970,NYU_0050954,75,0.63832478910538526
NYU_0050972,NYU_0050954,75,0.55335014660036541
NYU_0050973,NYU_0050954,75,0.53648443269437474
NYU_0050974,NYU_0050954,75,0.56928069543689952
NYU_0050976,NYU_0050954,75,0.48032345303384905
NYU_0050977,NYU_0050954,75,0.32223100035908836
NYU_0050978,NYU_0050954,75,0.47095032658212049
NYU_0050979,NYU_0050954,75,0.5541302724498951
NYU_0050981,NYU_0050954,75,0.59333343646699299
NYU_0050982,NYU_0050954,75,0.57179715249484875
NYU_0050983,NYU_0050954,75,0.55151566637586236
NYU_0050984,NYU_0050954,75,0.56473137125679607
NYU_0050985,NYU_0050954,75,0.60084200909087693
NYU_0050986,NYU_0050954,75,0.55565938029469453
NYU_0050987,NYU_0050954,75,0.55422693169270265
NYU_0050988,NYU_0050954,75,0.58756079107825732
NYU_0050989,NYU_0050954,75,0.68296088601495875
NYU_0050990,NYU_0050954,75,0.42442902035349228
NYU_0050991,NYU_0050954,75,0.34878119838903343
NYU_0050992,NYU_0050954,75,0.49863731580154308
NYU_0050993,NYU_0050954,75,0.55234633549468581
NYU_0050994,NYU_0050954,75,0.6431279687131789
NYU_0050995,NYU_0050954,75,0.51722742649355846
NYU_0050996,NYU_0050954,75,0.59283947818873461
NYU_0050997,NYU_0050954,75,0.63991956744578027
NYU_0050998,NYU_0050954,75,0.5325777628535916
NYU_0050999,NYU_0050954,75,0.46620724125581908
NYU_0051000,NYU_0050954,75,0.57224816036954829
NYU_0051001,NYU_0050954,75,0.42812262698928039
NYU_0051002,NYU_0050954,75,0.53835163435365485
NYU_0051003,NYU_0050954,75,0.54124461590375395
NYU_0051006,NYU_0050954,75,0.5917312002931725
NYU_0051007,NYU_0050954,75,0.55696022799797995
NYU_0051008,NYU_0050954,75,0.5627568131167785
NYU_0051009,NYU_0050954,75,0.48760137441660889
NYU_0051010,NYU_0050954,75,0.61022561788846119
NYU_0051011,NYU_0050954,75,0.5310762430945607
NYU_0051012,NYU_0050954,75,0.64185306545190501
NYU_0051013,NYU_0050954,75,0.52858598887803521
